atcc_annotation,cell_line,eigenstrat,primary_site
White,HPAC,EA,pancreas
White,HPAFII,EA,pancreas
White,HS766T,EA,pancreas
,HUPT3,EAA,pancreas
,HUPT4,EAA,pancreas
,KCIMOH1,EA,pancreas
,KLM1,EAA,pancreas
,KP1N,EA,pancreas
,KP2,EAA,pancreas
,KP3,EAA,pancreas
,KP4,EAA,pancreas
,L33,AA,pancreas
White,MIAPACA2,EA,pancreas
,MZ1PC,EA,pancreas
,59M,EA,ovary
,A2780,AA,ovary
White,CAOV3,EA,ovary
White,CAOV4,EA,ovary
,COLO704,EA,ovary
,COV318,EA,ovary
,COV362,EA,ovary
,COV434,EA,ovary
,COV504,EA,ovary
,COV644,EA,ovary
,DOV13,AA,ovary
,EFO21,EA,ovary
,EFO27,EA,ovary
Black,ES2,EA,ovary
,FUOV1,EAA,ovary
,HEY,EA,ovary
,HEYA8,EA,ovary
,HS571T,EA,ovary
,IGROV1,EA,ovary
,JHOC5,EAA,ovary
White,DBTRG05MG,EA,central_nervous_system
,DKMG,EA,central_nervous_system
,F5,EA,central_nervous_system
,GAMG,EA,central_nervous_system
,GB1,EAA,central_nervous_system
,GI1,EAA,central_nervous_system
,GMS10,EA,central_nervous_system
,GOS3,EA,central_nervous_system
White,H4,EA,central_nervous_system
White,HS683,EA,central_nervous_system
,KALS1,EAA,central_nervous_system
,KG1C,EAA,central_nervous_system
,KINGS1,EAA,central_nervous_system
,KNS42,EAA,central_nervous_system
,KNS60,EAA,central_nervous_system
,KNS81,EAA,central_nervous_system
,KNS81FD,EAA,central_nervous_system
,KS1,EAA,central_nervous_system
White,LN18,EA,central_nervous_system
White,LN229,EA,central_nervous_system
,NB13,AA,autonomic_ganglia
,NB14,EA,autonomic_ganglia
,NB17,EA,autonomic_ganglia
,NB5,AA,autonomic_ganglia
,NB6,EA,autonomic_ganglia
,NB69,EA,autonomic_ganglia
,NB7,EA,autonomic_ganglia
,NBSUSSR,EAA,autonomic_ganglia
,NBTU110,EAA,autonomic_ganglia
,NH12,EAA,autonomic_ganglia
,NH6,EAA,autonomic_ganglia
,SHSY5Y,EA,autonomic_ganglia
,SIMA,EA,autonomic_ganglia
White,SKNAS,EA,autonomic_ganglia
,SKNBE2,EA,autonomic_ganglia
White,SKNDZ,NA,autonomic_ganglia
White,SKNFI,EA,autonomic_ganglia
,TGW,EAA,autonomic_ganglia
,ACCMESO1,EAA,pleura
,DM3,EA,pleura
,H2369,EA,pleura
,H2373,EA,pleura
,H2461,EA,pleura
,H2591,EA,pleura
,H2595,EA,pleura
,H2722,EA,pleura
,H2731,EA,pleura
,H2795,EA,pleura
,H2803,AA,pleura
,H2804,EA,pleura
,H2810,EA,pleura
